qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
7.6,-0.039356213
7.6100006,0.23427275
7.62,0.49882868
7.63,0.7473215
7.64,0.97305655
7.65,1.1699238
7.66,1.3324956
7.67,1.4562869
7.68,1.5378352
7.69,1.5748866
7.7,1.5664709
7.71,1.5129541
7.72,1.4160793
7.73,1.2789075
7.74,1.1057906
7.75,0.90218174
7.76,0.6745449
7.7700005,0.4301183
7.78,0.17670846
7.7900004,-0.077607624
7.8,-0.32466292
7.8100004,-0.55655855
7.82,-0.76583624
7.830001,-0.9458005
7.84,-1.0906821
7.8500004,-1.1958534
7.86,-1.257981
7.8700004,-1.2750987
7.88,-1.2467172
7.8900003,-1.1737726
7.9,-1.0586218
7.9100003,-0.90494704
7.92,-0.7176413
7.9300003,-0.50256777
7.94,-0.2664671
7.9500003,-0.016617468
7.96,0.23929673
7.9700003,0.49354094
7.98,0.7384791
7.9900002,0.96689063
8.0,1.1721141
8.01,1.3483124
8.02,1.4905665
8.03,1.5950283
8.04,1.6590343
8.05,1.6810862
8.06,1.6609014
8.07,1.5993717
8.08,1.4984623
8.09,1.3611525
8.1,1.1912774
8.11,0.99340737
8.12,0.7726086
8.13,0.5343749
8.14,0.2843956
8.15,0.02842353
8.16,-0.22798726
8.17,-0.4794771
8.18,-0.7210905
8.19,-0.94837284
8.2,-1.1575152
8.21,-1.3453037
8.22,-1.5092529
8.23,-1.647588
8.24,-1.7593129
8.25,-1.8441132
8.26,-1.902386
8.2699995,-1.9351907
8.28,-1.9441843
8.29,-1.9315542
8.3,-1.8999527
8.309999,-1.8524103
8.32,-1.79223
8.33,-1.7229068
8.34,-1.6480135
8.349999,-1.5710928
8.36,-1.4955359
8.37,-1.4244859
8.38,-1.3607342
8.389999,-1.3066214
8.4,-1.2639241
8.41,-1.2338213
8.42,-1.2168123
8.429999,-1.2127031
8.44,-1.2205849
8.45,-1.2388514
8.46,-1.2652583
8.469999,-1.2969856
8.48,-1.3307595
8.49,-1.3629414
8.5,-1.3896902
8.509999,-1.4071126
8.5199995,-1.4114426
8.53,-1.3991627
8.54,-1.3672034
8.549999,-1.3130738
8.56,-1.2349411
8.570001,-1.1318126
8.580001,-1.0035355
8.59,-0.8508732
8.6,-0.6754377
8.610001,-0.47976118
8.620001,-0.26715916
8.629999,-0.04168994
8.64,0.19206794
8.650001,0.42901
8.660001,0.6637392
8.67,0.8907055
8.68,1.1044278
8.690001,1.299547
8.7,1.4710706
8.71,1.614463
8.72,1.725854
8.7300005,1.8020717
8.740001,1.840794
8.75,1.8406218
8.76,1.8011541
8.77,1.7230062
8.780001,1.6078675
8.79,1.4584955
8.8,1.2786438
8.81,1.0730965
8.820001,0.8475369
8.83,0.6084799
8.84,0.3630453
8.849999,0.11893673
8.860001,-0.11587516
8.87,-0.333291
8.88,-0.5254346
8.89,-0.68478775
8.900001,-0.80453426
8.91,-0.87883127
8.92,-0.9030527
8.93,-0.874015
8.940001,-0.7901806
8.95,-0.65182364
8.96,-0.46104884
8.97,-0.22189447
8.9800005,0.059801817
8.99,0.3764616
8.999999,0.7191538
9.01,1.0776896
9.02,1.4411004
9.03,1.7979907
9.04,2.1371086
9.05,2.447612
9.06,2.7196305
9.07,2.9446588
9.08,3.1159744
9.09,3.2288218
9.1,3.2806764
9.11,3.271353
9.12,3.202963
9.13,3.0798283
9.14,2.908215
9.150001,2.696073
9.16,2.4525425
9.17,2.1876142
9.18,1.9115766
9.19,1.6345403
9.2,1.3658818
9.21,1.1139708
9.220001,0.8856835
9.23,0.68618244
9.24,0.5186782
9.25,0.38445458
9.26,0.28284597
9.2699995,0.21140686
9.28,0.16612981
9.29,0.14179407
9.3,0.13231239
9.309999,0.13114984
9.32,0.13170648
9.33,0.127741
9.34,0.11371744
9.349999,0.08508321
9.36,0.03849644
9.370001,-0.028045068
9.38,-0.115135774
9.389999,-0.22201315
9.4,-0.3467292
9.41,-0.48624524
9.42,-0.6367404
9.429999,-0.7938478
9.44,-0.9530013
9.45,-1.109632
9.46,-1.259475
9.469999,-1.3987914
9.48,-1.524542
9.49,-1.6344675
9.5,-1.7271684
9.509999,-1.8020667
9.52,-1.8593978
9.530001,-1.9000362
9.540001,-1.9254104
9.55,-1.9373146
9.56,-1.9377754
9.570001,-1.9288645
9.580001,-1.9125826
9.590001,-1.8907582
9.6,-1.8649527
9.610001,-1.8364449
9.620001,-1.8062303
9.63,-1.77503
9.64,-1.7433543
9.650001,-1.7115598
9.660002,-1.6799461
9.67,-1.6487869
9.68,-1.6183776
9.690001,-1.5891097
9.700001,-1.5614009
9.71,-1.5357182
9.72,-1.5124921
9.7300005,-1.4920542
9.740001,-1.4745373
9.75,-1.4597615
9.76,-1.4471538
9.77,-1.4356705
9.780001,-1.4237407
9.79,-1.4092512
9.8,-1.3895862
9.81,-1.3616946
9.820001,-1.322232
9.83,-1.2677209
9.84,-1.1947552
9.85,-1.1002495
9.860001,-0.9816571
9.87,-0.8372476
9.88,-0.66624457
9.89,-0.46909192
9.900001,-0.24752891
9.91,-0.004674374
9.92,0.25508764
9.93,0.5260425
